index,mot,phoneme
1_02_10,m,m
1_02_10,aː,a
1_02_10,aː,a
1_02_10,mː,m
1_02_10,wɛː,ɛ
1_02_10,wɛː,w
1_02_10,m,m
1_02_10,m,m
1_02_10,mː,m
1_02_10,mː,m
1_02_10,m,m
1_02_10,mː,m
1_02_10,mː,m
1_02_10,mː,m
1_02_10,mː,m
1_02_10,mː,m
1_02_10,mː,m
1_02_10,mː,m
1_02_10,mː,m
1_02_10,mː,m
1_02_10,mː,m
1_02_10,mː,m
1_02_10,mː,m
1_02_10,mː,m
1_02_10,ema,a
1_02_10,ema,e
1_02_10,ema,m
1_02_10,wɛː,ɛ
1_02_10,wɛː,w
1_02_10,ewɛː,e
1_02_10,ewɛː,ɛ
1_02_10,ewɛː,w
1_02_10,mː,m
1_02_10,eɛœː,e
1_02_10,eɛœː,ɛ
1_02_10,eɛœː,œ
1_02_10,2ː,2
1_02_10,mː,m
1_02_10,mː,m
1_02_10,mː,m
1_02_10,mː,m
1_02_10,mː,m
1_02_10,mː,m
1_02_10,egɔː,e
1_02_10,egɔː,ɔ
1_02_10,egɔː,g
1_02_10,ejɛʃ,e
1_02_10,ejɛʃ,ɛ
1_02_10,ejɛʃ,j
1_02_10,ejɛʃ,ʃ
1_02_10,bɔːm,m
1_02_10,bɔːm,ɔ
1_02_10,bɔːm,b
1_02_10,eː,e
1_02_10,lɔː,l
1_02_10,lɔː,ɔ
1_02_10,œːbœ,b
1_02_10,œːbœ,œ
1_02_10,œːbœ,œ
1_02_10,m,m
1_02_10,m,m
1_02_10,m,m
1_02_10,bɛː,ɛ
1_02_10,bɛː,b
1_02_10,baː,a
1_02_10,baː,b
1_02_10,awaː,a
1_02_10,awaː,a
1_02_10,awaː,w
1_02_10,ɲaː,a
1_02_10,ɲaː,ɲ
1_02_10,mː,m
1_02_10,jɛː,ɛ
1_02_10,jɛː,j
1_02_10,waːjeː,a
1_02_10,waːjeː,e
1_02_10,waːjeː,j
1_02_10,waːjeː,w
1_02_10,œː,œ
1_02_10,aː,a
1_02_10,aː,a
1_02_10,m,m
1_02_10,m,m
1_02_10,aː,a
1_02_10,œː,œ
1_02_10,laː,a
1_02_10,laː,l
1_02_10,mː,m
1_02_10,aː,a
1_02_10,aː,a
1_02_10,2,2
1_02_10,aː,a
1_02_10,aː,a
1_02_10,aː,a
1_02_10,m,m
1_02_10,m,m
1_02_10,a,a
1_02_10,aː,a
1_02_10,a,a
1_02_10,a,a
1_02_10,aː,a
1_02_10,m,m
1_02_10,m,m
1_02_10,mː,m
1_02_10,m,m
1_02_10,aː,a
1_02_10,eeleː,l
1_02_10,eeleː,e
1_02_10,eeleː,e
1_02_10,eeleː,e
1_02_10,a,a
1_02_10,a,a
1_02_10,a,a
1_02_10,aːː,a
1_02_10,aː,a
1_02_10,aːeː,a
1_02_10,aːeː,e
1_02_10,mː,m
1_02_10,aː,a
1_02_10,œː,œ
1_02_10,aː,a
1_02_10,aː,a
1_02_10,ɔː,ɔ
1_02_10,eː,e
1_02_10,øː,ø
1_02_10,2,2
1_02_10,ɛː,ɛ
1_02_10,œ,œ
1_02_10,aː,a
1_02_10,aː,a
1_02_10,aː,a
1_02_10,œː,œ
1_02_10,ɛː,ɛ
1_02_10,aː,a
1_02_10,a,a
1_02_10,a,a
